"","ID","timepoints","predict_log10N","model"
"1","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",49.0991357811053,-0.0932695914885097,"Cubic"
"2","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",51.7487251162997,-0.0808193632093899,"Cubic"
"3","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",54.3983144514942,-0.0681084383098216,"Cubic"
"4","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",57.0479037866887,-0.0551406844579536,"Cubic"
"5","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",59.6974931218831,-0.0419199693219348,"Cubic"
"6","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",62.3470824570775,-0.0284501605699131,"Cubic"
"7","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",64.996671792272,-0.0147351258700377,"Cubic"
"8","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",67.6462611274665,-0.000778732890456726,"Cubic"
"9","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",70.2958504626609,0.0134151507006804,"Cubic"
"10","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",72.9454397978554,0.0278426572352258,"Cubic"
"11","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",75.5950291330498,0.0424999190450305,"Cubic"
"12","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",78.2446184682443,0.0573830684619459,"Cubic"
"13","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",80.8942078034387,0.0724882378178235,"Cubic"
"14","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",83.5437971386332,0.0878115594445145,"Cubic"
"15","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",86.1933864738276,0.10334916567387,"Cubic"
"16","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",88.8429758090221,0.119097188837742,"Cubic"
"17","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",91.4925651442165,0.135051761267982,"Cubic"
"18","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",94.142154479411,0.151209015296441,"Cubic"
"19","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",96.7917438146054,0.16756508325497,"Cubic"
"20","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",99.4413331497999,0.18411609747542,"Cubic"
"21","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",102.090922484994,0.200858190289644,"Cubic"
"22","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",104.740511820189,0.217787494029493,"Cubic"
"23","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",107.390101155383,0.234900141026817,"Cubic"
"24","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",110.039690490578,0.252192263613468,"Cubic"
"25","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",112.689279825772,0.269659994121298,"Cubic"
"26","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",115.338869160967,0.287299464882158,"Cubic"
"27","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",117.988458496161,0.305106808227899,"Cubic"
"28","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",120.638047831355,0.323078156490373,"Cubic"
"29","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",123.28763716655,0.341209642001431,"Cubic"
"30","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",125.937226501744,0.359497397092924,"Cubic"
"31","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",128.586815836939,0.377937554096704,"Cubic"
"32","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",131.236405172133,0.396526245344623,"Cubic"
"33","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",133.885994507328,0.415259603168531,"Cubic"
"34","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",136.535583842522,0.43413375990028,"Cubic"
"35","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",139.185173177717,0.453144847871721,"Cubic"
"36","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",141.834762512911,0.472288999414706,"Cubic"
"37","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",144.484351848106,0.491562346861086,"Cubic"
"38","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",147.1339411833,0.510961022542712,"Cubic"
"39","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",149.783530518494,0.530481158791437,"Cubic"
"40","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",152.433119853689,0.55011888793911,"Cubic"
"41","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",155.082709188883,0.569870342317584,"Cubic"
"42","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",157.732298524078,0.58973165425871,"Cubic"
"43","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",160.381887859272,0.609698956094339,"Cubic"
"44","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",163.031477194467,0.629768380156323,"Cubic"
"45","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",165.681066529661,0.649936058776512,"Cubic"
"46","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",168.330655864856,0.67019812428676,"Cubic"
"47","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",170.98024520005,0.690550709018916,"Cubic"
"48","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",173.629834535244,0.710989945304832,"Cubic"
"49","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",176.279423870439,0.73151196547636,"Cubic"
"50","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",178.929013205633,0.75211290186535,"Cubic"
"51","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",181.578602540828,0.772788886803655,"Cubic"
"52","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",184.228191876022,0.793536052623126,"Cubic"
"53","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",186.877781211217,0.814350531655614,"Cubic"
"54","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",189.527370546411,0.83522845623297,"Cubic"
"55","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",192.176959881606,0.856165958687045,"Cubic"
"56","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",194.8265492168,0.877159171349692,"Cubic"
"57","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",197.476138551995,0.898204226552762,"Cubic"
"58","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",200.125727887189,0.919297256628105,"Cubic"
"59","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",202.775317222383,0.940434393907574,"Cubic"
"60","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",205.424906557578,0.961611770723019,"Cubic"
"61","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",208.074495892772,0.982825519406292,"Cubic"
"62","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",210.724085227967,1.00407177228924,"Cubic"
"63","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",213.373674563161,1.02534666170373,"Cubic"
"64","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",216.023263898356,1.04664631998159,"Cubic"
"65","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",218.67285323355,1.06796687945469,"Cubic"
"66","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",221.322442568745,1.08930447245488,"Cubic"
"67","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",223.972031903939,1.110655231314,"Cubic"
"68","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",226.621621239134,1.1320152883639,"Cubic"
"69","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",229.271210574328,1.15338077593645,"Cubic"
"70","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",231.920799909522,1.17474782636349,"Cubic"
"71","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",234.570389244717,1.19611257197687,"Cubic"
"72","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",237.219978579911,1.21747114510844,"Cubic"
"73","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",239.869567915106,1.23881967809005,"Cubic"
"74","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",242.5191572503,1.26015430325357,"Cubic"
"75","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",245.168746585495,1.28147115293083,"Cubic"
"76","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",247.818335920689,1.30276635945368,"Cubic"
"77","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",250.467925255884,1.32403605515399,"Cubic"
"78","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",253.117514591078,1.3452763723636,"Cubic"
"79","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",255.767103926272,1.36648344341436,"Cubic"
"80","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",258.416693261467,1.38765340063813,"Cubic"
"81","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",261.066282596661,1.40878237636675,"Cubic"
"82","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",263.715871931856,1.42986650293208,"Cubic"
"83","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",266.36546126705,1.45090191266597,"Cubic"
"84","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",269.015050602245,1.47188473790026,"Cubic"
"85","Aerobic Psychotropic._Salted Chicken Breast_2_1_2",271.664639937439,1.49281111096682,"Cubic"
